,Team Name,Name,League,Wins,Losses,Points For,Points Against,Point Differential,League Rank,Streak,Draft Position,Draft Grade,Roster Moves,Number of Trades
60,Frenzied Zen,redacted,Eight,8,6,1214.2,1180.12,34.08,3,L1,7,,6,0
61,Achilles Last Stand,redacted,Stump Field,6,8,1207.06,1325.42,-118.36,8,L1,7,A-,2,0
62,Spencer's Terrific Team,redacted,VRA 2022,5,9,1201.7,1450.62,-248.92,7,L2,5,B-,0,0
63,Adam's Team,redacted,Masters 1k,6,8,1198.1,1351.4,-153.3,7,W2,8,,9,1
64,Ceedeez Nuts,redacted,Crank City,3,11,1194.7,1536.1,-341.4,9,L4,7,C,2,0
65,Hulk Smash,redacted,Stump Field,5,9,1187.08,1312.4,-125.32,9,W1,10,B-,14,0
66,'Da Bones,redacted,Champions,8,6,1182.7,1250.94,-68.24,5,L3,5,,0,0
67,Nullachtfünfzehn,redacted,Champions,9,5,1178.6,1093.84,84.76,4,W5,8,,0,0
68,Matthew's Dazzling Team,redacted,VRA 2022,5,9,1174,1311.92,-137.92,8,L5,3,C,0,0
69,Big Meaty Claws,redacted,6 U Court,3,11,1169.06,1409.98,-240.92,9,W1,6,C,17,0
70,Allen's eleven,redacted,Eight,7,7,1166.08,1180.82,-14.74,7,W1,3,,0,0
71,Football Cream,redacted,Orange and Blue,6,8,1154.78,1290.96,-136.18,6,L1,2,,0,0
72,Xoxo boys xoxo,redacted,Barn Szn Pass,3,11,1151.04,1458.62,-307.58,10,L6,5,C,11,0
73,Chase's Nice Team,redacted,Orange and Blue,5,9,1131.52,1271.12,-139.6,8,L1,9,,1,0
74,Lonestar State Dohn,redacted,Champions,5,9,1130.74,1121.86,8.88,7,L5,2,,0,0
75,DAKstreet's back,redacted,VRA 2022,4,10,1119.42,1294.1,-174.68,9,L5,4,C+,1,0
76,Old as Wooden Oars,redacted,Orange and Blue,4,10,1112.7,1244.82,-132.12,10,L4,7,,0,0
77,NC Bachelor,redacted,Champions,7,7,1083.56,1036.34,47.22,6,W1,7,,0,0
78,To the Moon and Back,redacted,Orange and Blue,5,9,1058.5,1217.7,-159.2,9,W1,10,,0,0
79,Decker?Hardly Kno'er,redacted,Crank City,1,13,1057.02,1457.32,-400.3,10,L13,2,B-,8,0
80,Cheese,redacted,6 U Court,3,11,1038.52,1466.62,-428.1,10,L9,7,B-,0,0
81,Pus-Oozing Blisters,redacted,Masters 1k,2,12,1014.98,1280.78,-265.8,10,L6,3,,0,0
82,Wild Desert Pigs,redacted,Eight,4,10,1013.1,1416.46,-403.36,10,L6,4,,0,0
83,VT Hokies,redacted,Stump Field,3,11,1010.78,1275.46,-264.68,10,L4,3,C,0,0
84,Bruiser's Best Team,redacted,Eight,5,9,1003.4,1117.54,-114.14,9,W3,10,,0,0
85,Jackson's Slam-Dunk Team,redacted,VRA 2022,2,12,993.78,1425.4,-431.62,10,L7,8,C,0,0
86,BigRickNick,redacted,Champions,5,9,992.94,1070.36,-77.42,8,L3,4,,0,0
87,MM's Team,redacted,Masters 1k,5,9,958.9,1286.04,-327.14,8,L7,4,,0,0
88,Cured Limes,redacted,Masters 1k,4,10,954.9,1315.64,-360.74,9,W3,10,,0,0
89,Goonies,redacted,Champions,3,11,949.92,1190.28,-240.36,10,W1,6,,0,0
90,Hoo's A Winner,redacted,Champions,4,10,841.42,1163.58,-322.16,9,W3,10,,0,0
